"","eventID","plotID","n"
"2814","UNDE.2015.38","UNDE_001",14
"2815","UNDE.2015.38","UNDE_003",5
"2816","UNDE.2015.38","UNDE_008",6
"2817","UNDE.2015.38","UNDE_012",8
"2818","UNDE.2015.38","UNDE_027",29
"2819","UNDE.2015.38","UNDE_032",5
"2820","UNDE.2015.42","UNDE_001",6
"2821","UNDE.2015.42","UNDE_003",6
"2822","UNDE.2015.42","UNDE_008",6
"2823","UNDE.2015.42","UNDE_012",6
"2824","UNDE.2015.42","UNDE_027",37
"2825","UNDE.2015.42","UNDE_032",8
"2826","UNDE.2016.19","UNDE_001",2
"2827","UNDE.2016.19","UNDE_003",1
"2828","UNDE.2016.19","UNDE_008",2
"2829","UNDE.2016.19","UNDE_012",4
"2830","UNDE.2016.19","UNDE_027",16
"2831","UNDE.2016.19","UNDE_032",2
"2832","UNDE.2016.22","UNDE_001",1
"2833","UNDE.2016.22","UNDE_003",1
"2834","UNDE.2016.22","UNDE_012",4
"2835","UNDE.2016.22","UNDE_027",18
"2836","UNDE.2016.22","UNDE_032",1
"2837","UNDE.2016.26","UNDE_001",4
"2838","UNDE.2016.26","UNDE_003",1
"2839","UNDE.2016.26","UNDE_008",1
"2840","UNDE.2016.26","UNDE_012",8
"2841","UNDE.2016.26","UNDE_027",22
"2842","UNDE.2016.26","UNDE_032",2
"2843","UNDE.2016.31","UNDE_001",3
"2844","UNDE.2016.31","UNDE_003",3
"2845","UNDE.2016.31","UNDE_008",4
"2846","UNDE.2016.31","UNDE_012",15
"2847","UNDE.2016.31","UNDE_027",26
"2848","UNDE.2016.31","UNDE_032",7
"2849","UNDE.2016.35","UNDE_001",12
"2850","UNDE.2016.35","UNDE_008",8
"2851","UNDE.2016.35","UNDE_012",18
"2852","UNDE.2016.35","UNDE_027",12
"2853","UNDE.2016.35","UNDE_032",11
"2854","UNDE.2017.21","UNDE_001",3
"2855","UNDE.2017.21","UNDE_008",3
"2856","UNDE.2017.21","UNDE_012",5
"2857","UNDE.2017.21","UNDE_027",14
"2858","UNDE.2017.21","UNDE_032",2
"2859","UNDE.2017.25","UNDE_001",4
"2860","UNDE.2017.25","UNDE_008",3
"2861","UNDE.2017.25","UNDE_012",2
"2862","UNDE.2017.25","UNDE_027",24
"2863","UNDE.2017.25","UNDE_032",4
"2864","UNDE.2017.29","UNDE_001",6
"2865","UNDE.2017.29","UNDE_008",4
"2866","UNDE.2017.29","UNDE_012",4
"2867","UNDE.2017.29","UNDE_027",40
"2868","UNDE.2017.29","UNDE_032",6
"2869","UNDE.2017.34","UNDE_001",12
"2870","UNDE.2017.34","UNDE_008",8
"2871","UNDE.2017.34","UNDE_012",15
"2872","UNDE.2017.34","UNDE_027",33
"2873","UNDE.2017.34","UNDE_032",4
"2874","UNDE.2017.38","UNDE_001",11
"2875","UNDE.2017.38","UNDE_003",1
"2876","UNDE.2017.38","UNDE_008",2
"2877","UNDE.2017.38","UNDE_012",14
"2878","UNDE.2017.38","UNDE_027",30
"2879","UNDE.2017.38","UNDE_032",5
"2880","UNDE.2018.20","UNDE_001",1
"2881","UNDE.2018.20","UNDE_008",4
"2882","UNDE.2018.20","UNDE_012",3
"2883","UNDE.2018.20","UNDE_027",11
"2884","UNDE.2018.20","UNDE_032",6
"2885","UNDE.2018.24","UNDE_001",2
"2886","UNDE.2018.24","UNDE_008",2
"2887","UNDE.2018.24","UNDE_012",2
"2888","UNDE.2018.24","UNDE_027",11
"2889","UNDE.2018.24","UNDE_032",6
"2890","UNDE.2018.28","UNDE_001",7
"2891","UNDE.2018.28","UNDE_003",2
"2892","UNDE.2018.28","UNDE_008",2
"2893","UNDE.2018.28","UNDE_012",8
"2894","UNDE.2018.28","UNDE_027",25
"2895","UNDE.2018.28","UNDE_032",10
"2896","UNDE.2018.32","UNDE_001",13
"2897","UNDE.2018.32","UNDE_003",2
"2898","UNDE.2018.32","UNDE_008",3
"2899","UNDE.2018.32","UNDE_012",16
"2900","UNDE.2018.32","UNDE_027",38
"2901","UNDE.2018.32","UNDE_032",5
"2902","UNDE.2018.37","UNDE_001",17
"2903","UNDE.2018.37","UNDE_003",7
"2904","UNDE.2018.37","UNDE_008",9
"2905","UNDE.2018.37","UNDE_012",24
"2906","UNDE.2018.37","UNDE_027",57
"2907","UNDE.2018.37","UNDE_032",23
"2908","UNDE.2019.19","UNDE_001",2
"2909","UNDE.2019.19","UNDE_012",3
"2910","UNDE.2019.19","UNDE_027",6
"2911","UNDE.2019.19","UNDE_032",1
"2912","UNDE.2019.23","UNDE_001",6
"2913","UNDE.2019.23","UNDE_003",1
"2914","UNDE.2019.23","UNDE_008",1
"2915","UNDE.2019.23","UNDE_012",3
"2916","UNDE.2019.23","UNDE_027",6
"2917","UNDE.2019.23","UNDE_032",2
"2918","UNDE.2019.26","UNDE_001",1
"2919","UNDE.2019.26","UNDE_012",2
"2920","UNDE.2019.26","UNDE_027",8
"2921","UNDE.2019.26","UNDE_032",5
"2922","UNDE.2019.31","UNDE_001",4
"2923","UNDE.2019.31","UNDE_008",4
"2924","UNDE.2019.31","UNDE_012",7
"2925","UNDE.2019.31","UNDE_027",19
"2926","UNDE.2019.31","UNDE_032",9
"2927","UNDE.2019.35","UNDE_001",7
"2928","UNDE.2019.35","UNDE_003",2
"2929","UNDE.2019.35","UNDE_008",3
"2930","UNDE.2019.35","UNDE_012",7
"2931","UNDE.2019.35","UNDE_027",39
"2932","UNDE.2019.35","UNDE_032",17
"2933","UNDE.2020.21","UNDE_001",2
"2934","UNDE.2020.21","UNDE_027",2
"2935","UNDE.2020.21","UNDE_032",1
"2936","UNDE.2020.26","UNDE_001",10
"2937","UNDE.2020.26","UNDE_003",1
"2938","UNDE.2020.26","UNDE_008",4
"2939","UNDE.2020.26","UNDE_012",3
"2940","UNDE.2020.26","UNDE_027",6
"2941","UNDE.2020.26","UNDE_032",1
"2942","UNDE.2020.30","UNDE_001",17
"2943","UNDE.2020.30","UNDE_003",8
"2944","UNDE.2020.30","UNDE_008",16
